timestamp	step	learning_rate
1661365303401	0	0.001
1661365315065	1	0.001
1661365327192	2	0.001
1661365339288	3	0.001
1661365350845	4	0.001
1661365362306	5	0.001
1661365373960	6	0.001
1661365385658	7	0.001
1661365397613	8	0.001
1661365409567	9	0.001
1661365421684	10	0.001
1661365433631	11	0.001
1661365445547	12	0.001
1661365457158	13	0.001
1661365469124	14	0.001
1661365480961	15	0.001
1661365492753	16	0.001
1661365504482	17	0.001
1661365516055	18	0.001
1661365527773	19	0.001
1661365539444	20	0.001
1661365551189	21	0.0001
1661365563115	22	0.0001
1661365574508	23	0.0001
1661365586516	24	0.0001
1661365598758	25	0.0001
1661365610808	26	0.0001
1661365622148	27	0.0001
1661365633943	28	0.0001
1661365646224	29	0.0001
